wx_count,mprotect_sum,ptrace_sum,syscall_rate,blocked_ratio,uid_is_root,event_burst_ratio,unique_event_diversity,label
0,0,0,22.5,0.016,0,1.45,0.395,0
0,1,0,15.99,0.035,0,0.28,0.288,0
0,2,0,26.14,0.009,0,0.46,0.13,0
0,2,0,23.76,0.046,0,0.65,0.388,0
1,2,0,37.13,0.003,0,1.3,0.141,0
0,1,0,9.5,0.035,0,0.47,0.197,0
4,4,0,206.49,0.66,1,9.72,0.968,1
0,1,0,26.93,0.009,0,0.19,0.302,0
4,2,0,429.31,0.512,1,9.74,0.558,1
4,6,3,137.09,0.108,1,9.1,0.729,1
10,6,3,417.64,0.2,1,9.35,0.865,1
0,2,0,29.85,0.011,0,1.49,0.378,0
0,0,0,27.03,0.017,0,1.23,0.278,0
0,2,0,11.78,0.001,0,1.28,0.306,0
0,2,0,4.23,0.035,0,0.51,0.168,0
1,8,1,155.25,0.704,0,6.74,0.671,1
0,0,0,12.71,0.013,0,0.86,0.232,0
6,4,3,252.13,0.464,1,7.69,0.592,1
0,0,0,22.41,0.03,0,0.6,0.197,0
0,2,0,5.67,0.027,0,0.5,0.124,0
0,0,0,30.38,0.003,0,0.92,0.132,0
6,2,3,64.04,0.613,1,5.98,0.586,1
0,1,0,31.62,0.026,0,0.84,0.3,0
2,8,0,170.43,0.853,0,7.16,0.576,1
0,0,0,27.13,0.024,0,0.68,0.165,0
3,3,0,93.21,0.789,0,5.33,0.675,1
0,0,0,31.97,0.031,0,0.34,0.16,0
0,2,0,16.09,0.044,0,0.87,0.379,0
7,7,0,236.72,0.154,0,4.96,0.967,1
9,4,0,71.98,0.441,1,3.77,0.761,1
0,0,0,22.79,0.046,0,1.17,0.385,0
0,0,0,1.62,0.006,0,1.04,0.337,0
3,3,1,426.07,0.234,1,4.95,0.507,1
1,3,0,86.75,0.429,1,5.36,0.756,1
0,2,0,21.76,0.034,0,1.17,0.11,0
6,4,0,103.33,0.736,1,9.34,0.685,1
7,7,1,101.92,0.742,0,3.31,0.917,1
